# Sumerian SIGN-occurrence frequency — CDLI (documentary, admin-heavy)
# Generated by bin/sign_seq.rb signs on 2026-07-31 · 1.3.0
# Pipeline: nabu export --format=plain --lang=sux --source=cdli | nabu signs --json (OSL resolution)
# Passages: 1548658 · tokens: 7978125 · statuses: deterministic=7486870 broken=252242 ambiguous=138000 unknown=67783 no-codepoint=17873 qualified=15357
# Counted statuses: deterministic, qualified, no-codepoint — ambiguous/unknown/broken excluded; every count is a floor.
# Determinatives count as occurrences of their sign.
rank	sign	glyph	count
187	5(BAN₂)	𒑔	6573
188	DAR	𒁯	6538
189	|IGI.RU|	𒅆𒊒	6432
190	|NINDA₂×NE|	𒉘	6417
191	|NU₁₁.BUR.LA|	𒉢𒁓𒆷	6360
192	KUL	𒆰	6329
193	UR₂	𒌫	6283
194	|U.UD.KID|	𒌋𒌓𒆤	6220
195	5(AŠ)	𒐃	6201
196	PI	𒉿	6174
197	ŠANABI	𒑛	6160
198	NIGIDAMIN@c	𒕚	6050
199	|AB×HA|	𒀏	6040
200	MES	𒈩	5961
201	2(BAN₂@c)	𒖔	5922
202	|GA₂×AN|	𒂼	5921
203	UZ₃	𒍚	5858
204	UB	𒌒	5768
205	|GUD×KUR|	𒄠	5748
206	|PA.DU@s|	𒉺𒁽	5683
207	GABA	𒃮	5596
208	|A.LAGAB×HAL|	𒀀𒇉	5524
209	|PA.LU|	𒉺𒇻	5443
210	SI@g	𒋜	5370
211	|KA×GAN₂@t.ŠA|	𒅤𒊭	5363
212	4(AŠ@c)	𒕓	5331
213	ERIN₂	𒂟	5271
214	3(GEŠ₂)	𒐗	5221
215	|EŠ₂.ŠE|	𒂠𒊺	5203
216	URUDA	𒍏	5106
217	GAN	𒃶	5096
218	9(DIŠ)	𒐎	5042
219	5(AŠ@c)	𒕔	5021
220	|GIŠ.KUŠU₂|	𒄑𒆵	4962
221	PAP	𒉽	4937
222	|TE.A|	𒋼𒀀	4904
223	3(BAN₂@c)	𒖕	4890
224	|SI.A|	𒋛𒀀	4860
225	4(BAN₂@c)	𒖖	4856
226	ŠUBUR	𒋚	4852
227	GAM	𒃵	4701
228	AB@g	𒀕	4700
229	IR	𒅕	4656
230	1(BAN₂@c)	𒖓	4645
231	|LAGAB×BAD|	𒇀	4531
232	ZIZ₂	𒍩	4525
233	6(AŠ)	𒐄	4475
234	TUK	𒌇	4473
235	1(EŠE₃)	𒑘	4358
236	1(GEŠU)	𒐞	4352
237	ZAG	𒍠	4254
238	|BI.U₂.SA|	𒁉𒌑𒊓	4218
239	|UD.UD|	𒌓𒌓	4216
240	TE@g	𒋽	4201
241	|GA₂×(NUN&NUN)|	𒃡	4167
242	DU@s	𒁽	4045
243	TE	𒋼	4001
244	|IGI.RI|	𒅈	3910
245	|NUN&NUN|	𒉪	3882
246	TAB	𒋰	3869
247	|PA.AL|	𒉺𒀠	3795
248	2(U@c)	𒕣	3789
249	ŠIM	𒋆	3722
250	KASKAL	𒆜	3686
251	SUD	𒋤	3685
252	|NINDA₂×ŠE|	𒉚	3659
253	4(GEŠ₂)	𒐘	3638
254	TAG	𒋳	3518
255	UR₄	𒌴	3493
256	|EN.KID|	𒂗𒆤	3474
257	7(AŠ)	𒐅	3439
258	LAGAR@g	𒇯	3400
259	BAD	𒁁	3391
260	AŠ₂	𒀾	3317
261	8(AŠ)	𒐆	3295
262	GUL	𒄢	3181
263	ZE₂	𒍢	3149
264	|LAGAR@g.DU|	𒇯𒁺	3107
265	GAD	𒃰	3091
266	SIG₄	𒋞	3058
267	NIM	𒉏	3001
268	|KA×A|	𒅘	2975
269	5(GEŠ₂)	𒐙	2955
270	|NI.UD|	𒎎	2938
271	ŠAR₂	𒊹	2835
272	|PAP.PAP|	𒉽𒉽	2803
273	|UD.KA.BAR|	𒌓𒅗𒁇	2741
274	BARA₂	𒁈	2722
275	|AN.IM.MI|	𒀭𒅎𒈪	2683
276	PAD	𒉻	2665
277	NISAG	𒉠	2659
278	KINGUSILI	𒑜	2638
279	LAM	𒇴	2620
280	IGI@g	𒅊	2578
281	EDIN	𒂔	2525
282	GEŠ₂@c	𒕫	2476
283	6(AŠ@c)	𒕕	2474
284	|KA×GAN₂@t|	𒅤	2433
285	6(GEŠ₂)	𒐚	2424
286	2(EŠE₃)	𒑙	2418
287	|ZU.AB|	𒍪𒀊	2374
288	|GIR₃×(A.IGI)|	𒄋	2355
289	KU₇	𒆯	2347
290	3(U@c)	𒕤	2332
291	GEŠTIN	𒃾	2303
292	MUŠ	𒈲	2288
293	9(AŠ)	𒐇	2276
294	|TE.AB|	𒋼𒀊	2238
295	|TA×HI|	𒋭	2223
296	KEŠ₂	𒆟	2212
297	GIG	𒍼	2197
298	NI₂	𒉎	2197
299	|AMAR×ŠE.AMAR×ŠE|	𒀬𒀬	2130
300	F₄	𒑠	2114
301	|KA.DI|	𒅗𒁲	2092
302	DUN₃@g@g	𒂇	2066
303	EL	𒂖	2043
304	BUR	𒁓	2026
305	|LU.HUL₂|	𒇻𒄾	2015
306	2(GEŠU)	𒐟	2013
307	|SAL.GA₂×PA|	𒊩𒃢	1994
308	|LAGAB×KUL|	𒇒	1982
309	NA₂	𒈿	1980
310	NE@s	𒉋	1975
311	|ANŠE.ARAD|	𒀲𒀴	1972
312	|HI×NUN|	𒄴	1964
313	|UD.KUŠU₂|	𒌔	1951
314	KALAM	𒌧	1921
315	|LAGAR×ŠE|	𒇭	1898
316	HA@g	𒄫	1847
317	|LAGAB×U|	𒇥	1826
318	KUN	𒆲	1808
319	|IGI.ERIN₂|	𒅆𒂟	1788
320	NAGAR	𒉄	1768
321	|A.ŠE.NUN&NUN|	𒀀𒌁	1768
322	|DU.DU|	𒁺𒁺	1765
323	DUN₃	𒂅	1764
324	|HI×NUN.ME|	𒄴𒈨	1764
325	SUR	𒋩	1757
326	7(GEŠ₂)	𒐛	1755
327	1(EŠE₃@c)	𒖌	1707
328	|ŠE.NUN&NUN|	𒌁	1701
329	|A.KA|	𒀀𒅗	1698
330	DIN	𒁷	1630
331	ŠU₂	𒋙	1568
332	TAK₄	𒋺	1546
333	8(GEŠ₂)	𒐜	1535
334	|ŠE.HU|	𒊻	1535
335	4(U@c)	𒕥	1494
336	7(AŠ@c)	𒕖	1470
337	|LAGAB×HAL|	𒇉	1466
338	|NIM×GAN₂@t|	𒉐	1464
339	GIR₂@g	𒄉	1455
340	|KASKAL.KUR|	𒆜𒆳	1439
341	URI	𒌵	1428
342	|AŠ.AŠ|	𒀸𒀸	1420
343	LAGAR	𒇬	1411
344	DIB	𒁳	1404
345	|MU&MU|	𒈭	1401
346	|NE.RU|	𒉈𒊒	1379
347	|UŠ.KU|	𒍑𒆪	1346
348	GA@g	𒂶	1345
349	IL	𒅋	1336
350	AŠGAB	𒀿	1325
351	|SU.KUR.RU|	𒋢𒆳𒊒	1308
352	|AB₂.KU|	𒀖𒆪	1300
353	|GUM×ŠE|	𒄤	1295
354	|I.A|	𒅀	1252
355	3(GEŠU)	𒐠	1250
356	HUL₂	𒄾	1249
357	DARA₃	𒁰	1246
358	SAG@g	𒊨	1206
359	SIG	𒋝	1204
360	PIRIG	𒊊	1171
361	BUR₂	𒁔	1151
362	MUG	𒈮	1141
363	9(GEŠ₂)	𒐝	1128
364	MA@g	𒈢	1115
365	KISAL	𒆦	1114
366	DUR₂	𒂉	1113
367	|URU×GAN₂@t|	𒌾	1110
368	HAL	𒄬	1105
369	|SAL.KU|	𒎐	1104
370	|IGI.EŠ₂|	𒅆𒂠	1085
371	EREN	𒂞	1070
372	UMUM	𒌣	1063
373	8(AŠ@c)	𒕗	1062
374	|URU×BAR|	𒌺	1052
375	|DIŠ.DIŠ.DIŠ|	𒁹𒁹𒁹	1048
376	DAG	𒁖	1005
377	|URU×MIN|	𒍇	999
378	2(GEŠ₂@c)	𒕬	984
379	|GA₂×ZIZ₂|	𒓈	980
380	|HI×AŠ₂.HI×AŠ₂|	𒄯𒄯	979
381	GUM	𒄣	970
382	|LU₂.SU|	𒇽𒋢	957
383	|ANŠE.IGI.EŠ₂|	𒀲𒅆𒂠	949
384	|ŠE.KIN|	𒊺𒆥	949
385	ALAN	𒀩	948
386	|IGI.DUB|	𒅆𒁾	929
387	DARA₄	𒁱	927
388	NAM₂	𒉇	920
389	|ŠE.NAGA|	𒊺𒉀	917
390	KA₂	𒆍	913
391	U@g	𒐴	881
392	4(GEŠU)	𒐡	863
393	NIGIDAEŠ@c	𒕛	846
394	UZU	𒍜	845
395	KAB	𒆏	838
396	DIM	𒁴	833
397	|LAGAB×A|	𒆹	827
398	ZUM	𒍮	815
399	ŠEN	𒊿	793
400	5(U@c)	𒕦	780
401	5(BAN₂@c)	𒖗	752
402	|DU&DU|	𒁻	744
403	|HU.HI|	𒄷𒄭	743
404	|KA×ME|	𒅴	731
405	|PIRIG×UD|	𒊌	729
406	|GA₂×GI|	𒃍	720
407	|ŠU.GAR.TUR.LAL|	𒋗𒃻𒌉𒇲	718
408	|ŠEŠ.AB@g|	𒋀𒀕	710
409	|A.IGI|	𒀀𒅆	704
410	|PIRIG×ZA|	𒊍	701
411	|ŠIM×GAR|	𒋋	695
412	|NUN.LAGAR|	𒉣𒇬	680
413	6(U)	𒐑	677
414	BALAG	𒁆	647
415	|ŠE.ŠE.NUN&NUN|	𒊺𒌁	627
416	|ZIZ₂.AN|	𒍩𒀭	626
417	|GU₂×KAK|	𒄙	625
418	|MAŠ.GU₂.GAR₃|	𒈦𒄘𒃼	622
419	LU₂@s	𒈕	609
420	|UD.AB@g|	𒌓𒀕	584
421	|GI%GI|	𒄃	580
422	|UD.NUN|	𒌓𒉣	571
423	5(GEŠU)	𒐢	569
424	LU₃	𒈖	569
425	ŠITA	𒋖	568
426	|EN×GAN₂@t|	𒂙	567
427	|PA.HUB₂.DU|	𒉺𒄸𒁺	560
428	2(EŠE₃@c)	𒖍	559
429	|URU×URUDA|	𒍎	557
430	|LAGAB.LAGAB|	𒆸𒆸	554
431	SUKUD	—	545
432	LAK490	𒓻	532
433	|MUŠ₃.ZA|	𒈹𒍝	532
434	3(GEŠ₂@c)	𒕭	525
435	|GIŠ.TUG₂.PI|	𒄑𒌆𒉿	517
436	|AB₂×ŠA₃|	𒀚	514
437	DU@g	𒁼	510
438	|PAP.E|	𒉽𒂊	506
439	|GAL.BUR₂|	𒃲𒁔	496
440	7(AŠ@t)	𒑯	493
441	MUŠ₃@g	𒈽	491
442	|U.KA|	𒌋𒅗	488
443	|3×AN|	𒀯	487
444	MURGU₂	𒈱	486
445	|LAL.LAGAB|	𒇲𒆸	472
446	2(ŠAR₂)	𒐣	469
447	|A.TU.GABA.LIŠ|	𒀀𒌅𒃮𒇺	468
448	|KA×ŠU|	𒆃	463
449	SUHUR	𒋦	455
450	DUB₂	𒂀	453
451	|BI×GAR|	𒁋	453
452	|LAL₂.LAGAB|	𒇳𒆸	453
453	|NAGAR.BU|	𒉄𒁍	450
454	F₄@c	𒖉	447
455	|GA₂×NUN|	𒃠	446
456	ŠINIG	𒋒	446
457	|TE.ME|	𒋼𒈨	445
458	|GIŠ.NE@s|	𒄑𒉋	442
459	|PA.TUG₂|	𒉺𒌆	442
460	|DAG.KISIM₅×(LU.MAŠ₂)|	𒁦	435
461	BAHAR₂	𒁃	434
462	|MUŠ₃.AB@g|	𒈹𒀕	430
463	|SAL.ME|	𒊩𒈨	430
464	|ME.U.U.U|	𒎌	424
465	8(AŠ@t)	𒑵	423
466	|ANŠE.SAL|	𒀲𒊩	423
467	|URU×IGI|	𒍂	411
468	|GIŠ.MI|	𒄑𒈪	409
469	|GIR₃×GAN₂@t|	𒄌	407
470	|ŠU.NAGA|	𒋗𒉀	403
471	|URU×A|	𒌸	402
472	|URU×UD|	𒍍	402
473	GEŠU@c	𒕴	400
474	|GAL.NI|	𒃲𒉌	400
475	|LU₂.SU.A|	𒇽𒋢𒀀	399
476	|ZIZ₂.A.AN|	𒍩𒀀𒀭	398
477	PEŠ₂	𒉾	392
478	|GIŠ%GIŠ|	𒄒	392
479	|HU.NA₂|	𒄷𒈿	392
480	ŠEŠ₂	𒋁	388
481	UMBIN	𒌢	381
482	TI₂	𒎗	379
483	7(U)	𒐒	378
484	|IGI.E₂|	𒅆𒂍	372
485	|KI.AN|	𒆠𒀭	367
486	|LAGAB×SUM|	𒇡	355
487	|TUR.UŠ|	𒌉𒍑	352
488	NUNUZ	𒉭	350
489	2(BURU)	𒐵	349
490	F₁	𒑝	348
491	|ZI&ZI.LAGAB|	𒍤𒆸	346
492	4(GEŠ₂@c)	𒕮	339
493	URI₃	𒌶	331
494	|AN.IM.DUGUD|	𒀭𒅎𒂂	323
495	|U.GAN|	𒌋𒃶	311
496	|ZI&ZI|	𒍤	307
497	|LAL₂.DU|	𒇳𒁺	304
498	8(U)	𒐓	300
499	|PAD.AN.MUŠ₃|	𒉻𒀭𒈹	292
500	|KA₂.GAL|	𒆍𒃲	289
